site_id,event_key,pga_g,wtd_event_site_adjusted_m,manifestation_code,observed_liquefaction,severe_manifestation,critical_layer_depth_m,critical_layer_qc_mpa,critical_layer_saturated,critical_crossing_margin_m
Canterbury_02290,Yr2010,0.21,1.59194552898407,0,0,0,0.75,13.302219999999998,0,-0.84194552898407
Canterbury_02290,Yr2011,0.333,1.62071990966796,0,0,0,0.75,13.302219999999998,0,-0.8707199096679601
Canterbury_02290,Yr2016,0.101498045,1.3178286026000896,0,0,0,0.75,13.302219999999998,0,-0.5678286026000896
Canterbury_02291,Yr2010,0.211,1.75908768177032,0,0,0,2.315,6.260400000000001,1,0.5559123182296799
Canterbury_02291,Yr2011,0.328,1.86869871616363,0,0,0,2.315,6.260400000000001,1,0.44630128383637
Canterbury_02291,Yr2016,0.100158148,1.5522677662610957,0,0,0,2.315,6.260400000000001,1,0.7627322337389042
Canterbury_02292,Yr2010,0.213,1.99947357177734,0,0,0,2.33,1.0660999999999998,1,0.3305264282226601
Canterbury_02292,Yr2011,0.322,2.15202927589416,0,0,0,2.33,1.0660999999999998,1,0.17797072410583992
Canterbury_02292,Yr2016,0.096450523,1.8201284774303392,0,0,0,2.33,1.0660999999999998,1,0.5098715225696608
Canterbury_02293,Yr2010,0.213,2.25382471084594,0,0,0,1.295,1.8674000000000002,0,-0.9588247108459402
Canterbury_02293,Yr2011,0.32,2.41056275367736,4,1,1,1.295,1.8674000000000002,0,-1.1155627536773602
Canterbury_02293,Yr2016,0.096711345,2.0645460273265765,0,0,0,1.295,1.8674000000000002,0,-0.7695460273265766
Canterbury_02294,Yr2010,0.213,1.61429703235626,0,0,0,3.41,0.8696,1,1.7957029676437402
Canterbury_02294,Yr2011,0.324,1.76314210891723,4,1,1,3.41,0.8696,1,1.64685789108277
Canterbury_02294,Yr2016,0.096222691,1.4524745497703495,0,0,0,3.41,0.8696,1,1.9575254502296506
Canterbury_02295,Yr2010,0.294,1.76754474639892,1,1,0,3.06,0.7455,1,1.29245525360108
Canterbury_02295,Yr2011,0.33,2.19459128379821,0,0,0,3.06,0.7455,1,0.8654087162017903
Canterbury_02295,Yr2016,0.063281745,1.8603665997028278,0,0,0,3.06,0.7455,1,1.1996334002971722
Canterbury_02296,Yr2010,0.293,1.8968917799125726,4,1,1,2.8499999999999996,0.69364,1,0.953108220087427
Canterbury_02296,Yr2011,0.335,1.8810803272262766,0,0,0,2.8499999999999996,0.69364,1,0.968919672773723
Canterbury_02296,Yr2016,0.062516846,1.563973341359722,0,0,0,2.8499999999999996,0.69364,1,1.2860266586402775
Canterbury_02297,Yr2010,0.293,1.8968917799125726,4,1,1,3.31,0.70385,1,1.4131082200874274
Canterbury_02297,Yr2011,0.334,1.8810803272262766,0,0,0,3.31,0.70385,1,1.4289196727737234
Canterbury_02297,Yr2016,0.062393483,1.563973341359722,0,0,0,3.31,0.70385,1,1.746026658640278
Canterbury_02298,Yr2010,0.295,1.40085506439209,1,1,0,3.42,0.94899,1,2.01914493560791
Canterbury_02298,Yr2011,0.327,1.86506128311157,0,0,0,3.42,0.94899,1,1.5549387168884299
Canterbury_02298,Yr2016,0.063038386,1.5488289370536785,0,0,0,3.42,0.94899,1,1.8711710629463214
Canterbury_02299,Yr2010,0.3,2.18722176551818,1,1,0,4.91,0.6356,1,2.72277823448182
Canterbury_02299,Yr2011,0.307,2.5876305103302,1,1,0,4.91,0.6356,1,2.3223694896698
Canterbury_02299,Yr2016,0.061415516,2.2319458844661715,0,0,0,4.91,0.6356,1,2.6780541155338287
Canterbury_02300,Yr2010,0.21,1.12473309040069,0,0,0,1.0750000000000002,0.35,0,-0.04973309040068985
Canterbury_02300,Yr2011,0.211,1.47444665431976,0,0,0,1.0750000000000002,0.35,0,-0.3994466543197599
Canterbury_02300,Yr2016,0.084179729,1.1795418669939013,0,0,0,1.0750000000000002,0.35,0,-0.10454186699390111
Canterbury_02301,Yr2010,0.21,1.30332362651825,0,0,0,3.74,0.391,1,2.4366763734817503
Canterbury_02301,Yr2011,0.21,1.68104028701782,0,0,0,3.74,0.391,1,2.05895971298218
Canterbury_02301,Yr2016,0.082928918,1.3748554873466472,0,0,0,3.74,0.391,1,2.365144512653353
Canterbury_02302,Yr2010,0.247,1.3934199810028,0,0,0,3.59,0.7118499999999999,1,2.1965800189972
Canterbury_02302,Yr2011,0.381,1.55461275577545,1,1,0,3.59,0.7118499999999999,1,2.03538724422455
Canterbury_02302,Yr2016,0.073611431,1.2553308993101107,0,0,0,3.59,0.7118499999999999,1,2.334669100689889
Canterbury_02303,Yr2010,0.244,1.93382453918457,0,0,0,1.0750000000000002,0.3598,0,-0.8588245391845699
Canterbury_02303,Yr2011,0.384,2.06829595565795,2,1,0,1.0750000000000002,0.3598,0,-0.9932959556579499
Canterbury_02303,Yr2016,0.073784925,1.7409669964790262,0,0,0,1.0750000000000002,0.3598,0,-0.665966996479026
Canterbury_02304,Yr2010,0.246,1.89572429656982,2,1,0,5.09,0.5316000000000001,1,3.19427570343018
Canterbury_02304,Yr2011,0.382,2.0218539237976,2,1,0,5.09,0.5316000000000001,1,3.0681460762024
Canterbury_02304,Yr2016,0.07372731,1.6970606995582511,0,0,0,5.09,0.5316000000000001,1,3.392939300441749
Canterbury_02305,Yr2010,0.245,1.29080235958099,0,0,0,3.4,0.20914000000000002,1,2.10919764041901
Canterbury_02305,Yr2011,0.376,1.23852801322937,1,1,0,3.4,0.20914000000000002,1,2.1614719867706302
Canterbury_02305,Yr2016,0.074496306,0.9565043837070463,0,0,0,3.4,0.20914000000000002,1,2.4434956162929535
Canterbury_02306,Yr2010,0.245,2.44221305847168,0,0,0,4.93,0.654245,1,2.4877869415283196
Canterbury_02306,Yr2011,0.38,2.4932107925415,1,1,0,4.93,0.654245,1,2.4367892074585
Canterbury_02306,Yr2016,0.074095078,2.142681483268734,0,0,0,4.93,0.654245,1,2.7873185167312657
Canterbury_02307,Yr2011,0.378,1.62636184692382,1,1,0,2.75,0.562,1,1.12363815307618
Canterbury_02307,Yr2016,0.073794022,1.3231624900817796,0,0,0,2.75,0.562,1,1.4268375099182204
Canterbury_02308,Yr2011,0.374,1.71711444854736,0,0,0,4.33,0.6008,1,2.6128855514526403
Canterbury_02308,Yr2016,0.074010283,1.4089599996566742,0,0,0,4.33,0.6008,1,2.921040000343326
Canterbury_02309,Yr2011,0.371,2.03308057785034,1,1,0,2.27,0.4516,1,0.23691942214966
Canterbury_02309,Yr2016,0.073976047,1.7076743782997115,0,0,0,2.27,0.4516,1,0.5623256217002885
Canterbury_02310,Yr2010,0.243,2.50151801109314,2,1,0,4.13,0.59583,1,1.6284819889068598
